,의료시설 수,대중교통만족도,문화시설 수,경제력,주택가격 안정화지수,1인당 녹지 면적,전체녹지,상업시설 수,주거환경만족도,target
11,691.0,6.4,4.0,58.26622,0.20986358866736943,22.13286817,126200.0,1677285.0,6.03,0
12,705.0,6.31,5.0,63.13458,1.5706806282722585,21.98683195,126200.0,518407.0,6.26,0
14,722.0,6.22,5.0,67.24209,0.45977011494253706,20.53,187674.0,518407.0,5.92,0
15,735.0,7.0,5.0,67.46,1.9630484988452768,20.82,187674.0,518407.0,5.94,0
16,738.0,6.72,5.0,69.11857,7.134767836919598,23.79,157200.0,518329.0,6.25,0
17,758.0,6.27,5.0,72.35494,2.2198731501057223,24.56,157200.0,575847.0,5.82,0
18,761.0,6.5,5.0,75.10737,4.343329886246128,25.01,157200.0,575847.0,5.7,0
20,789.0,6.45,9.0,85.4195,0.27297543221109777,25.02,157200.0,582922.0,5.76,0
21,823.0,6.9,9.0,85.28269,2.4500907441016295,23.72,157200.0,582922.0,6.2,0
22,416.0,6.27,10.0,32.82905,0.20181634712410634,40.95001732,23904.0,585797.0,6.36,0
23,425.0,6.16,11.0,28.66787,0.9100101112234471,41.12399798,23904.0,575847.0,5.98,0
24,425.0,6.9,11.0,28.11501,2.505010020040077,41.35133481,23904.0,320000.0,6.01,0
25,420.0,6.79,11.0,25.90001,2.0554984583761593,41.89,23904.0,322150.0,6.0,0
26,424.0,6.75,10.0,25.58395,0.0,42.36,23904.0,322150.0,5.52,0
27,453.0,6.75,10.0,25.54343,2.518363064008411,37.42,23904.0,322150.0,5.7,0
28,438.0,6.18,10.0,27.26714,1.1258955987717423,37.84,23904.0,322150.0,5.55,0
29,447.0,6.915,10.0,28.17683,1.5182186234817818,38.15,23904.0,270342.0,6.24,0
30,450.0,6.85,9.0,29.58494,4.685942173479574,38.79,23904.0,270342.0,5.81,0
31,461.0,6.4,9.0,30.39338,1.2380952380952381,39.43,20496.0,270342.0,5.79,0
32,466.0,6.47,9.0,30.74364,3.480714957666975,40.2,20496.0,270342.0,5.57,0
33,652.0,6.19,15.0,69.87063,2.929292929292937,40.70345063,340352.0,272237.0,6.08,0
34,660.0,5.63,15.0,73.76413,0.8324661810614087,41.06582471,299794.0,272237.0,5.92,0
35,664.0,6.45,14.0,75.01178,5.882352941176472,41.1776727,292746.0,270342.0,6.28,0
36,673.0,6.36,15.0,82.69862,1.4254385964912242,41.06,294615.0,1162753.0,6.26,0
37,688.0,5.96,14.0,84.08179,0.6674082313681939,39.93,292926.0,1164390.0,5.62,0
38,708.0,6.3,15.0,93.71637,4.927211646136631,39.53,292926.0,1009599.0,5.79,0
39,739.0,6.62,15.0,105.03866,2.9882604055496254,39.1,292926.0,1009599.0,6.36,0
40,777.0,6.84,15.0,153.88675,3.83419689119171,37.4,293799.0,1009599.0,5.95,0
44,657.0,6.19,10.0,45.0364,0.6410256410256387,33.23817445,65653.0,992742.0,6.42,0
45,652.0,6.36,10.0,46.87045,2.9032258064516148,33.55622467,65653.0,992742.0,6.0,0
46,651.0,6.42,10.0,48.16486,3.9707419017763868,33.77230708,65653.0,992742.0,6.63,0
48,661.0,6.36,10.0,51.47234,0.3260869565217428,34.42,65653.0,350000.0,6.07,0
49,664.0,6.43,10.0,52.36213,3.1419284940411796,34.66,65653.0,350000.0,6.49,0
50,666.0,6.31,10.0,52.41288,2.2058823529411686,34.85,65653.0,350000.0,5.74,0
51,673.0,6.9399999999999995,10.0,53.51735,2.877697841726623,27.51,65653.0,350000.0,6.2,0
52,681.0,6.74,11.0,54.3264,3.6963036963036933,27.58,65653.0,350000.0,6.22,0
54,698.0,6.85,11.0,57.14406,2.9580152671755844,27.97,65651.0,390187.0,6.46,0
55,501.0,5.77,7.0,50.75407,1.0000000000000009,14.59531299,20865.0,390187.0,6.12,0
56,507.0,6.09,7.0,49.89591,5.830583058305816,14.73371763,20865.0,392024.0,5.91,0
57,512.0,5.87,7.0,51.0886,2.7027027027027084,14.7584383,20865.0,392024.0,5.88,0
58,523.0,6.42,7.0,51.98712,3.739316239316237,14.85,20865.0,392024.0,6.36,0
59,528.0,6.51,7.0,51.53056,1.5538290788013276,15.08,20865.0,390187.0,6.51,0
60,539.0,6.61,7.0,52.98822,5.136612021857934,15.21,20865.0,196503.0,6.26,0
61,539.0,6.49,7.0,56.47054,1.2474012474012586,15.34,20865.0,196503.0,6.31,0
62,543.0,6.365,7.0,56.62708,3.5934291581108724,14.75,20865.0,196503.0,6.66,0
63,553.0,6.87,7.0,58.70178,4.658077304261643,14.84,20865.0,196503.0,5.9,0
64,552.0,7.07,8.0,60.99745,1.799242424242431,15.01,18807.0,196503.0,6.4,0
65,552.0,6.68,8.0,59.59124,2.6976744186046675,15.22,18807.0,193152.0,6.22,0
66,496.0,6.59,6.0,100.3953,2.185223725286156,13.99280448,153692.0,193152.0,6.3,0
67,242.0,6.5,6.0,101.64081,0.10638297872340718,13.87022654,153692.0,201658.0,6.1,0
68,513.0,6.67,7.0,105.83407,3.188097768331566,13.86853948,163557.0,203281.0,6.37,0
69,524.0,6.38,7.0,107.00684,1.3172338090010838,13.95,163557.0,203281.0,6.8,0
70,539.0,6.14,7.0,106.45491,0.0,13.82,160627.0,206616.0,6.37,0
71,550.0,6.88,8.0,111.24833,6.117908787541704,13.94,160627.0,201658.0,6.78,0
72,566.0,6.47,8.0,115.37223,1.991614255765195,14.09,160627.0,523690.0,6.25,0
73,557.0,6.525,8.0,122.35065,3.083247687564228,12.56,155003.0,523690.0,6.23,0
74,556.0,6.93,10.0,127.37398,4.885343968095723,12.75,154703.0,523690.0,6.34,0
75,559.0,6.64,10.0,130.11941,1.2357414448669113,12.68,154703.0,523690.0,6.05,0
76,569.0,7.13,10.0,128.14107,3.5680751173708947,12.75,150588.0,473561.0,6.55,0
77,283.0,6.46,5.0,114.48082,1.4522821576763545,11.50105018,43809.0,513589.0,6.1,0
78,290.0,6.45,5.0,125.99654,2.210526315789463,11.58405836,32937.0,513589.0,6.17,0
79,305.0,6.64,5.0,135.23398,3.192584963954681,11.59120055,32937.0,513589.0,6.45,0
80,306.0,6.0,5.0,135.74562,1.7021276595744594,11.7,32937.0,513589.0,5.7,0
81,315.0,6.42,5.0,132.66223,0.43290043290042934,11.83,34851.0,513589.0,6.25,0
83,336.0,6.59,5.0,146.43145,1.565762004175375,11.98,34681.0,513589.0,6.73,0
84,330.0,6.66,5.0,151.59199,2.877697841726623,12.31,32341.0,130000.0,6.25,0
85,339.0,6.88,5.0,158.80763,3.3966033966033926,12.38,32341.0,130000.0,5.97,0
86,356.0,7.05,7.0,162.15064,1.449275362318847,12.44,32341.0,130000.0,6.65,0
87,354.0,6.77,7.0,158.22501,2.4761904761904763,12.5,32341.0,130000.0,5.9,0
88,672.0,6.06,12.0,46.57381,4.369918699187004,36.36995403,306004.0,130000.0,6.23,0
89,674.0,6.29,12.0,49.20259,1.062699256110522,36.81011707,306004.0,102906.0,6.21,0
90,667.0,5.98,14.0,48.80128,6.337271750805574,37.22562539,306004.0,102906.0,6.19,0
91,678.0,6.83,15.0,49.49097,1.6055045871559703,37.6,309197.0,102906.0,6.16,0
92,684.0,6.54,13.0,50.74574,2.680652680652673,38.11,309194.0,102906.0,6.09,0
95,717.0,6.41,15.0,58.14727,3.192584963954692,37.93,316464.0,102906.0,6.77,0
97,725.0,6.66,16.0,61.8877,0.5769230769230749,39.46,318643.0,568760.0,6.74,0
98,734.0,6.69,16.0,59.77652,4.684512428298282,40.2,380007.0,568760.0,6.65,0
99,334.0,5.83,9.0,23.92316,3.717826501429944,23.45319279,29280.0,568760.0,6.49,0
100,335.0,5.66,9.0,24.66628,0.0,23.6280141,29280.0,568760.0,6.77,0
101,336.0,6.58,9.0,25.29896,6.138613861386144,23.84344274,29280.0,589023.0,5.57,0
103,345.0,6.22,10.0,26.54151,1.1982570806100323,24.42,29280.0,589023.0,6.03,0
104,352.0,6.21,10.0,26.89643,4.090419806243273,24.59,29280.0,590480.0,6.19,0
106,367.0,6.515000000000001,9.0,30.71379,2.1406727828746197,31.5,29280.0,595751.0,6.08,0
107,364.0,6.7,10.0,31.06159,4.091816367265455,31.94,29280.0,589023.0,6.43,0
108,369.0,7.11,10.0,31.58453,0.6711409395973256,32.52,29280.0,300000.0,5.78,0
109,367.0,6.81,10.0,32.31378,3.142857142857136,31.94,29280.0,300000.0,6.17,0
110,609.0,6.01,6.0,53.93625,0.9667024704618665,0.32716625,70564.0,300000.0,6.26,0
111,615.0,6.3,6.0,55.63255,1.4893617021276562,0.32832995,70581.0,300000.0,6.12,0
112,596.0,5.86,6.0,58.82447,3.4591194968553562,0.330343723,70581.0,300000.0,6.18,0
113,586.0,6.53,5.0,59.83289,2.3887079261671995,0.33,70581.0,244894.0,6.15,0
114,589.0,6.45,5.0,60.31151,1.0011123470522687,1.06,72802.0,244894.0,6.41,0
115,593.0,6.45,5.0,60.8807,6.057268722466969,1.07,72802.0,239431.0,6.13,0
116,599.0,6.59,5.0,66.09557,1.4537902388369828,1.08,72802.0,239431.0,6.32,0
117,605.0,6.625,5.0,66.12208,2.5588536335721557,1.09,72802.0,239431.0,5.83,0
118,603.0,6.01,6.0,67.1984,5.988023952095811,1.1,72802.0,239431.0,5.7,0
119,607.0,6.51,6.0,69.44905,1.1299435028248705,1.11,72802.0,239431.0,6.37,0
120,586.0,6.68,6.0,67.67289,3.5381750465549366,1.12,53843.0,857232.0,6.08,0
121,515.0,6.54,12.0,53.64085,0.32292787944027124,1.738227852,24191.0,857232.0,6.85,0
122,528.0,6.22,12.0,54.09297,0.9719222462203136,1.743861607,24191.0,875352.0,6.35,0
123,534.0,6.78,12.0,55.2534,4.8128342245989275,1.726302187,24191.0,875352.0,5.96,0
124,536.0,6.49,12.0,54.464,0.561797752808979,1.7,24191.0,870279.0,6.25,0
125,550.0,6.56,12.0,52.13306,2.0111731843575287,1.72,37589.0,745441.0,6.48,0
126,556.0,6.5,12.0,51.40537,3.3953997809419656,5.62,37589.0,745441.0,5.96,0
127,559.0,6.31,12.0,55.40291,2.2245762711864403,5.62,37589.0,745441.0,5.5,0
128,560.0,6.55,12.0,57.95657,4.0414507772020825,5.68,37751.0,745441.0,6.0,0
130,576.0,6.74,12.0,60.6933,1.6651248843663424,5.69,37370.0,745441.0,5.54,0
131,588.0,6.61,12.0,61.25708,2.365787079162862,5.76,37370.0,745441.0,6.24,0
137,690.0,6.08,9.0,167.48565,2.8322440087146017,28.84,319655.0,267548.0,5.93,0
138,702.0,6.28,9.0,176.31257,2.330508474576254,25.16,319655.0,267548.0,6.26,0
139,717.0,6.609999999999999,9.0,173.61845,3.9337474120082927,25.49,319655.0,267548.0,6.27,0
141,730.0,6.97,10.0,185.67745,1.7225747960108784,25.56,320959.0,267548.0,6.19,0
142,742.0,6.71,10.0,187.70337,3.475935828876997,25.71,160777.0,268974.0,6.33,0
143,403.0,6.06,7.0,53.85554,0.20768431983384517,5.840728906,474260.0,267548.0,6.26,0
144,400.0,5.64,7.0,58.52142,1.7616580310880758,6.020466759,478642.0,395858.0,6.1,0
145,397.0,6.4,8.0,65.73504,4.378818737270873,6.015480161,484351.0,395858.0,6.19,0
146,412.0,6.14,8.0,66.22661,1.7039403620873306,6.03,479864.0,395858.0,6.32,0
147,413.0,6.16,7.0,66.98001,0.8667388949079147,6.11,475841.0,395857.0,6.23,0
148,424.0,6.07,7.0,69.7263,2.685284640171859,6.07,475841.0,395858.0,6.03,0
149,431.0,6.52,7.0,72.94336,2.092050209205021,6.03,475841.0,753951.0,6.06,0
150,432.0,6.64,8.0,75.89397,2.7663934426229497,6.28,475841.0,753951.0,6.11,0
151,430.0,6.1,9.0,77.12929,5.882352941176472,6.33,475841.0,757236.0,6.43,0
152,435.0,6.71,9.0,80.01568,1.2241054613935987,6.34,475841.0,757236.0,5.98,0
153,441.0,6.88,10.0,78.57484,2.5116279069767433,6.29,442285.0,757236.0,6.09,0
165,352.0,6.06,6.0,69.47644,1.041666666666663,14.54220574,284325.0,274391.0,6.13,0
166,365.0,6.13,6.0,74.49941,0.3157894736842026,14.453023,283650.0,274391.0,6.36,0
167,365.0,5.64,8.0,80.15545,4.931794333683104,14.50642515,283650.0,274391.0,6.24,0
168,371.0,6.22,9.0,84.39886,1.7660044150110354,14.52,283653.0,1340154.0,6.11,0
169,381.0,6.22,9.0,88.06975,1.1235955056179803,14.68,35588.0,1340154.0,6.25,0
170,394.0,6.24,9.0,94.1161,5.666666666666664,14.63,35588.0,1340154.0,6.2,0
171,394.0,6.44,9.0,97.80132,1.682439537329139,14.52,35588.0,1340154.0,6.5,0
172,432.0,6.505,9.0,98.1934,4.75698035160288,14.21,35588.0,1340154.0,6.33,0
174,444.0,6.91,12.0,111.01959,1.1893870082342106,14.4,35588.0,1317259.0,6.33,0
175,456.0,6.72,12.0,112.72209,2.9837251356238825,14.76,35588.0,1320064.0,5.97,0
176,552.0,6.22,8.0,44.44679,1.6376663254861867,13.42580972,73865.0,1322182.0,6.07,0
177,556.0,6.35,8.0,45.8826,0.10405827263268996,13.52988534,73865.0,1322182.0,5.86,0
178,553.0,6.29,8.0,48.42679,1.8711018711018657,13.62293793,73865.0,1322182.0,6.02,0
179,554.0,6.95,8.0,50.04774,1.8008474576271194,13.77,73865.0,1320064.0,6.11,0
180,541.0,6.64,8.0,49.12827,0.7551240560949246,14.07,73865.0,208841.0,5.97,0
181,529.0,6.92,8.0,50.80333,3.104925053533192,14.29,73865.0,208841.0,6.04,0
182,527.0,6.32,8.0,53.82719,1.7653167185877505,14.58,73865.0,208841.0,5.9,0
183,525.0,6.61,8.0,55.25404,2.448979591836742,14.49,73865.0,208841.0,6.18,0
184,530.0,6.08,9.0,56.55401,7.071713147410352,14.76,73865.0,208841.0,6.34,0
185,528.0,6.17,9.0,57.42356,1.116279069767434,14.53,73865.0,397688.0,6.27,0
186,540.0,7.01,9.0,57.7219,3.127874885004589,14.72,22879.0,397688.0,6.25,0
187,954.0,6.15,10.0,160.1874,0.5230125523012608,15.05804643,274667.0,397688.0,6.09,0
188,974.0,6.32,10.0,167.8154,1.4721345951629994,15.12580895,366402.0,397688.0,5.96,0
189,982.0,6.68,11.0,176.26767,6.735751295336789,15.33016349,381453.0,397688.0,5.94,0
190,982.0,6.43,10.0,186.44749,0.7777777777777772,15.44,380381.0,407382.0,6.2,0
191,1006.0,6.35,10.0,200.80627,1.2318029115341744,15.52,386343.0,397688.0,6.19,0
192,1018.0,6.83,10.0,217.21787,4.424778761061954,15.99,331532.0,838383.0,5.97,0
198,583.0,6.11,12.0,54.0329,0.6079027355623157,8.818868362,227567.0,332833.0,6.23,0
199,587.0,6.25,12.0,55.47257,0.7135575942915251,8.815183623,227567.0,332833.0,6.25,0
200,594.0,6.34,12.0,56.99891,5.338809034907599,8.772465221,237492.0,332833.0,5.83,0
201,591.0,6.24,12.0,55.69847,2.9284164859002204,8.83,237492.0,332833.0,5.94,0
202,610.0,6.77,11.0,56.79319,1.0055865921787754,8.95,236356.0,334356.0,6.53,0
203,609.0,6.86,11.0,58.57062,4.424778761061954,8.22,242674.0,332833.0,6.02,0
204,613.0,6.24,11.0,59.68686,2.5423728813559254,8.33,242674.0,1057762.0,6.13,0
205,621.0,6.715,11.0,61.89215,4.648760330578505,8.58,238469.0,1057762.0,6.0,0
206,627.0,6.38,12.0,64.43097,5.9230009871668265,8.71,238469.0,1057762.0,5.98,0
207,626.0,6.33,12.0,66.20684,1.3047530288909703,8.82,238469.0,1026865.0,6.04,0
208,638.0,6.69,12.0,64.85414,2.8518859245630024,8.9,238469.0,1067788.0,6.19,0
209,676.0,6.53,11.0,232.0766,1.5625,16.63745075,64188.0,1176981.0,6.32,0
210,698.0,6.52,11.0,245.84098,0.10582010582009804,17.03052765,63389.0,1176981.0,6.05,0
211,681.0,6.55,12.0,245.58534,4.3432203389830555,17.29311613,63389.0,1178942.0,6.28,0
212,678.0,6.17,11.0,254.71449,2.10409745293465,17.51,63389.0,1180453.0,6.02,0
213,699.0,6.76,11.0,255.40984,1.4705882352941124,17.7,65399.0,1182622.0,6.43,0
214,707.0,6.66,11.0,270.65451,4.682274247491636,23.01,60377.0,1182622.0,6.03,0
215,724.0,6.38,11.0,276.21324,2.342917997870053,23.5,60380.0,1178942.0,6.34,0
216,729.0,6.55,10.0,287.59947,4.8907388137356955,23.63,60380.0,560000.0,6.39,0
218,756.0,6.41,10.0,325.29971,1.9337016574585641,23.69,42905.0,560000.0,6.15,0
220,292.0,6.15,6.0,87.29564,2.5316455696202667,36.5589517,80070.0,560000.0,6.18,0
221,288.0,6.27,6.0,89.61925,1.3986013986013957,36.31453422,82242.0,733026.0,6.52,0
222,287.0,6.06,6.0,89.2118,2.4316109422492405,36.90000493,81454.0,733026.0,6.53,0
223,280.0,5.8,6.0,89.32976,3.011422637590855,37.44,81454.0,733026.0,6.63,0
224,289.0,6.42,6.0,89.62555,0.5353319057815886,38.04,81454.0,733026.0,6.37,0
225,300.0,6.46,6.0,92.69553,1.9375672766415386,38.46,84721.0,733026.0,6.43,0
226,298.0,6.2,6.0,96.32663,2.11193241816261,38.98,84721.0,733026.0,6.39,0
227,298.0,6.74,6.0,107.38075,3.82626680455016,37.22,84721.0,733026.0,6.16,0
240,662.0,6.65,10.0,45.53978,0.7604562737642651,28.96,106724.0,1483904.0,6.11,0
241,677.0,6.75,10.0,46.81499,2.4528301886792336,28.97,106724.0,1483904.0,6.63,0
242,474.0,5.77,6.0,231.30777,0.5417118093174356,65.63454842,104677.0,1490319.0,6.08,0
243,473.0,5.96,6.0,241.04991,2.2629310344827624,66.49053937,104981.0,1490319.0,6.34,0
